Event Type,Description,Release Date,Tags
"access.request.cancel","Access request canceled. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request cancellation. Okta Identity Governance API can be used to get more details about the canceled request.","2023.06.0","access","event-hook-eligible"
"access.request.condition.activate","Access request condition activated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition activation. Okta Identity Governance API can be used to get more details about the activated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.create","Access request condition created. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition creation. Okta Identity Governance API can be used to get more details about the created access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.deactivate","Access request condition deactivated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition deactivation. Okta Identity Governance API can be used to get more details about the deactivated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.delete","Access request condition deleted. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition deletion. Okta Identity Governance API can be used to get more details about the deleted access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.invalidate","Access request condition invalidated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition invalidation. Okta Identity Governance API can be used to get more details about the invalidated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.update","Access request condition updated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition update. Okta Identity Governance API can be used to get more details about the updated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.create","Access request created. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request creation. Okta Identity Governance API can be used to get more details about the created request.","2022.11.0","access","event-hook-eligible"
"access.request.reject","Access request rejected. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request rejection. Okta Identity Governance API can be used to get more details about the rejected request.","2024.05.0","access","event-hook-eligible"
"access.request.resolve","Access request resolved. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request resolution. Okta Identity Governance API can be used to get more details about the resolved request.","2022.11.0","access","event-hook-eligible"
"account.org.add","Org is added to an Aerial account. Triggered when an org is added to an Aerial account. This event is fired in both the Aerial org and the added target org.","2023.10.1","account-service"
"account.org.delete.cancel","Org deletion request is cancelled. Triggered when the deletion request is cancelled. This event is fired in the Aerial org. The recovered org will be in the target.","2024.02.2","account-service"
"account.org.delete.request","Org is requested to be deleted. Triggered when a org is requested to be deleted. This event is fired in the Aerial org. The user or API client who requested the delete will be the actor and the org to be deleted will be in the target.","2024.02.2","account-service"
"account.org.product.update","Products are updated on an org. Triggered when Products are updated on an org. This event is fired only in the Aerial org.","2023.10.1","account-service"
"account.org.status.update","Org status is updated. Triggered when the status of an org is updated. This event is fired only in the Aerial org.","2023.10.1","account-service"
"analytics.feedback.provide","An admin has provided feedback on a detection Okta provided which indicated a change in user or session risk. This can be used to monitor feedback provided by admins in response to Okta determined changes in risk. This event is fired when an admin chooses to provide feedback on a detection event in the admin console.","2023.10.0","risk","security"
"analytics.reports.export.download","A user has downloaded an export file that Okta has generated for a report available in the admin console. This event may be used to identify access by a user to a report data set from Okta. This may be useful to audit access to report data for security investigations, compliance audits, and evaluation of the utility of a report within the Org. This event only indicates that a user has downloaded the export file. The user that downloaded it may not be the user that requested generation of the export file. See analytics.reports.export.request and analytics.reports.export.generate for related actions.","2022.05.1"
"analytics.reports.export.generate","Okta has generated an export file for a report available in the admin console. This event may be used to identify whether Okta successfully generated the export file that a user requested for a report. This event is primarily useful for troubleshooting if a report fails to generate. This event does not indicate whether a user downloaded the report file. See analytics.reports.export.request and analytics.reports.export.download for related actions.","2022.05.1"
"analytics.reports.export.request","A user has requested that Okta generate an export file for a report available in the admin console. This event may be used to identify a request by a user to export a report data set from Okta. This may be useful to audit access to report data for security investigations, compliance audits, and evaluation of the utility of a report within the Org. This event only indicates that a user requested the export. It does not indicate that an export file was successfully generated by Okta nor that the export file was accessed by a user. See analytics.reports.export.generate and analytics.reports.export.download for those actions.","2022.05.1"
"app.access_request.approver.approve","Request to access an app was approved by an administrator-defined approver.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.approver.deny","Request to access an app was denied by an administrator-defined approver.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.delete","Request to access an app was deleted by an administrator.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.deny","Request to access an app was denied after at least one approver denied the request.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.expire","Request to access an app expired by the system due to lack of approver action.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.grant","Request to access an app was granted after all approvers approved the request.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.request","Request to access an app was performed by a user.","2017.43","app-instance-request","event-hook-eligible"
"app.ad.api.user_import.account_locked","Active Directory user account set to locked following profile update: user is locked in active directory.","2016.10","ad-app"
"app.ad.api.user_import.warn.skipped_contact.attribute_invalid_value","Skipping import of contact due to invalid attribute. Please consult with your Active Directory admin if you believe this contact should be imported.","2015.47","ad-app"
"app.ad.api.user_import.warn.skipped_user.attribute_invalid_value","Skipping import of user due to an invalid AD attribute.","2015.47","ad-app"
"app.ad.api.user_import.warn.skipped_user.missing_required_attribute","Skipping import of user due to a required AD attribute being null.","2011.01","ad-app"
"app.app_instance.csr.generate","Certificate signing request (CSR) generated.","2017.15","app"
"app.app_instance.csr.publish","Certificate signing request (CSR) published.","2017.15","app"
"app.app_instance.csr.revoke","Certificate signing request (CSR) revoked.","2017.15","app"
"app.app_instance.provision_sync_job.completed","Fired when a provision sync job has successfully completed. This can be used to confirm that a provision sync job has finished running and is no longer processing users. When fired, this event contains details about number of users processed in the job. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.failed.","2019.08.3","admin","app","user-provision"
"app.app_instance.provision_sync_job.failed","Fired when a provision sync job has failed. This can be used to identify when a provision sync job has failed. When fired, this event contains information about the reason the provision sync job failed. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.completed.","2019.08.3","admin","app","user-provision"
"app.app_instance.provision_sync_job.started","Fired when a provision sync job has successfully started. This can be used to confirm that a provision sync job has successfully started. Related events include app.app_instance.provision_sync_job.completed and app.app_instance.provision_sync_job.failed.","2019.08.3","admin","app","user-provision"
"application.user_membership.add","Add user to application membership.","2016.02","event-hook-eligible","user-provision"
"application.user_membership.approve","User approved for application (assigned by not provisioned).","2016.33","user-provision"
"application.user_membership.change_password","Change application password for user.","2016.11","app","event-hook-eligible"
"application.user_membership.change_username","Change user's application username.","2016.02","app"
"application.user_membership.deprovision","User deprovisioned from application (was previously revoked).","2016.33","user-provision"
"application.user_membership.provision","User provisioned to application (was previously approved).","2016.33","user-provision"
"application.user_membership.remove","Remove user's application membership.","2016.02","event-hook-eligible","user-provision"
"application.user_membership.restore","Restore user assignment to an application.","2016.02","app"
"application.user_membership.restore_password","Restore user's password for an application.","2016.02","app"
"application.user_membership.revoke","User revoked from application (unassigned but not yet deprovisioned).","2016.33","user-provision"
"application.user_membership.show_password","Show user's password for application.","2016.02","app"
"application.user_membership.update","Updated user application property.","2016.02","app","event-hook-eligible"
"certification.campaign.close","Triggered when a campaign is closed. This event can be used by admins to audit Access Certification Review activity to understand when a Campaign Instance has transitioned into the closed state. This event is triggered when a Campaign is closed either by an admin or on the configured campaign end date.","2022.02.1","certification","event-hook-eligible"
"certification.campaign.create","Triggered when a new campaign is created. Can be used to audit campaign activity in the system log as well as reports. This is triggered by creating a new campaign.","2021.07.1","certification"
"certification.campaign.delete","Triggered when a campaign is deleted. Can be used to audit campaign activity in the system log as well as reports. This is triggered by deleting a campaign.","2021.07.1","certification"
"certification.campaign.item.decide","Triggered when a decision on the access to a resource is made. Can be used to audit the decision activity related to an item in a certification campaign, such as the access of a user to an application. The outcome.result field will be SUCCESS for a decision to approve or revoke and will be SKIPPED for a decision to delegate. This is triggered when a reviewer makes a decision on a campaign item, or at the end of a campaign if an item has not been reviewed. The result of the decision is included in the debugData (APPROVE, REVOKE, DELEGATE, NORESPONSE).","2021.10.1","certification","event-hook-eligible"
"certification.campaign.item.remediate","Triggered when the remediation is performed on the campaign item. Can be used to audit remediation activity in the system log as well as reports. This is triggered when the remediation is acted upon by reviewer.","2021.10.0","certification","event-hook-eligible"
"certification.campaign.launch","Triggered when a campaign is launched. This event can be used by admins to audit Access Certification Review activity to understand when a Campaign Instance has transitioned into the Active state. This event is triggered when a Campaign starts and moves from scheduled to active.","2022.02.1","certification","event-hook-eligible"
"certification.campaign.update","Triggered when a campaign is updated. Can be used to audit campaign activity in the system log as well as reports. This is triggered by updating a campaign.","2021.07.1","certification"
"certification.remediation.open","Triggered when the remediation state is open. Can be used to audit remediation activity in the system log as well as reports. This is triggered when the remediation state is open.","2021.07.1","certification"
"core.concurrency.org.limit.violation","Too many requests in flight.","2017.39","concurrency-limit"
"core.el.evaluate","Evaluate Expression Language.","2017.20","okta-el"
"core.user_auth.idp.x509.crl_download_failure","Failed to download CRL from the endpoint.","2017.52","x509-idp-auth"
"credential.register","Fired when a credential is registered. This event fires when the registration of a credential is successful or fails. This can be used to audit that a credential has been successfully registered, and troubleshoot why a credential registration attempt has failed.","2019.02.3","user-factor"
"credential.revoke","Fired when a credential is revoked. This event fires when the revocation of a credential is successful or fails. This can be used to audit that a credential has been successfully revoked, and troubleshoot why a credential revocation attempt has failed.","2019.02.3","user-factor"
"device.custom_push.send_notification","Fired when a Push notification sent to a device for custom app. Used to log success and failure for the push notifications  with relevant information to allow org developers to troubleshoot push configurations for custom push authenticator. Note that this event is fired whenever a Push is sent.","2022.05.3","custom-push"
"device.enrollment.create","Enroll new device. This can be used by any admin to monitor when a new device is registered successfully for Okta Verify. The user must have below the max allowed devices and a valid device status (not suspended or deactivated).The targets field contains key details of the enrolled device including name, status, serialNumber, imei, meid, osVersion, osPlatform. which may be useful for identifying the device, tracking  which device platforms and OS versions that enrolled in Okta Device Authenticator.","2020.10.4","device-identity","event-hook-eligible","oie-only","user"
"device.lifecycle.activate","Activate device. You can use the event to audit device status change. When triggered, the device can be suspended or deactivated. Also, a user can access protected resources from an active device if permitted by the App Sign-On policies applied to the resources.","2021.07.1","device-identity","event-hook-eligible","oie-only","user"
"device.lifecycle.deactivate","Deactivate device. You can use the event to audit device status change. When a device is deactivated, it can not be associated with any Okta Verify factor in the future.","2021.07.1","device-identity","event-hook-eligible","oie-only","user"
"device.lifecycle.delete","Delete device. You can use the event to audit device status change. When triggered, the device no longer appears in the Admin Console.","2021.07.1","device-identity","event-hook-eligible","oie-only","user"
"device.lifecycle.suspend","Suspend device. You can use the event to audit device status change. When triggered, access to the device is temporarily paused for users such as contractors or employees who take a leave of absence. Only active devices can be suspended. If a device suspension fails, the cause may be that the device was not active and therefore cannot be suspended.","2021.07.1","device-identity","event-hook-eligible","oie-only","user"
"device.lifecycle.unsuspend","Unsuspend device. You can use the event to audit device status change. When triggered, all Okta Verify factors associated with the device are unsuspended, and users can access protected resources from the device.","2021.07.1","device-identity","event-hook-eligible","oie-only","user"
"device.password_sync.authentication","Fired when the OS tries to sync a local account password with an Okta password. Can be used to audit that a credential has been successfully registered, and troubleshoot why a credential registration attempt has failed. Note that the event is fired even when the password sync is unsuccessful.","2023.06.1","device-sso","oie-only"
"device.password_sync.enrollment.create","This event fires when Desktop Password Sync enrollment is successful or fails. Can be used to audit which users enrolled in Desktop Password Sync or troubleshoot why enrollment failed. Note that the event is fired even when the enrollment is unsuccessful.","2023.06.1","device-sso","oie-only"
"device.platform.add","Triggered when an admin adds a device management platform. You can use the event to audit device management platform status change. When triggered, the device management platform  will be available to the org.","2021.07.1","device-identity","oie-only","user"
"device.platform.delete","Triggered when an admin deletes a device management platform. You can use the event to audit device management platform status change. When triggered, the device management platform no longer appears in the Admin Console.","2021.07.1","device-identity","oie-only","user"
"device.platform.update","Triggered when an admin updates a device management platform configuration. You can use the event to audit device management platform configuration change. An admin can only update some fields in the device management platform configuration.","2021.07.1","device-identity","oie-only","user"
"device.push.provider.create","Indicates that a new push notification service has been successfully created. The notification service enables push notification as an authentication option through Okta to a push provider such as the Apple Push Notification service or the Google Firebase Cloud Messaging service. You can use this event to verify when a notification service was created for a custom app. When triggered, a new push notification service appears in the Admin Console.","2022.04.3","oie-only","push-provider"
"device.push.provider.delete","Indicates that a push notification service has been deleted. The notification service enables push notification as an authentication option through Okta to a push provider such as the Apple Push Notification service or the Google Firebase Cloud Messaging service. You can use this event to verify when a notification service was deleted for a custom app. When triggered, a push notification service is removed from the Admin Console.","2022.04.3","oie-only","push-provider"
"device.push.provider.update","Indicates that a push notification service has been updated. The notification service enables push notification as an authentication option through Okta to a push provider such as the Apple Push Notification service or the Google Firebase Cloud Messaging service. You can use this event to verify when a notification service was updated for a custom app. When triggered, a push notification service is updated in the Admin Console.","2022.04.3","oie-only","push-provider"
"device.signals.status.timeout","A registered device associated with at least one user session hasn't communicated with Okta within the required time interval. Use this event to find registered devices that have lost communication with Okta. This event contains the device unique identifier in the System Log actor object. You can use this information to find other related events.","2023.11.0","device-identity","oie-only"
"device.user.add","Add device to user. You can use the event to audit device user association activity. The event is triggered when a user adds a new account in Okta Verify.","2021.07.1","device-identity","event-hook-eligible","oie-only","user"
"device.user.remove","Remove device from user. You can use the event to audit device user association activity. The device remains in the Universal Directory after the user is removed.","2021.07.1","device-identity","event-hook-eligible","oie-only","user"
"directory.app_user_profile.bootstrap","Bootstrap application user profile.","2016.12","cvd","directory"
"directory.app_user_profile.update","Update application user profile.","2016.12","cvd","directory"
"directory.linked_object.create","An admin can create a linked object that is related to user profiles. This event may be used to identify when a linked object is created, and who created the linked object. This may be useful for admins to validate why a change in the user profile has happened. While linked object creation does not trigger or happen as a result of another event, it is overall related to custom property update, creation and deletion. This event only indicates the creation of a linked object. See directory.linked_object.delete for deletion of linked objects.","2022.11.1","cvd","directory"
"directory.linked_object.delete","An admin can delete a linked object that is related to user profiles. This event may be used to identify when a linked object is deleted, and who deleted the linked object. This may be useful for admins to validate why a change in the user profile has happened. While linked object creation does not trigger or happen as a result of another event, it is overall related to custom property update, creation and deletion. This event only indicates the deletion of a linked object. See directory.linked_object.create for creation of linked objects.","2022.11.1","cvd","directory"
"directory.mapping.update","Update universal directory mappings.","2016.12","cvd","directory"
"directory.non_default_user_profile.create","Create non-default universal directory user profile. This can be used to audit that a new non-default universal directory user profile has been created. When fired, this event contains the name and id of the newly created user profile.","2019.04.2","cvd","directory"
"directory.user_profile.bootstrap","Bootstrap universal directory user profile.","2016.12","cvd","directory"
"directory.user_profile.update","Update universal directory user profile directory.user_profile.update.","2016.12","cvd","directory"
"event_hook.activated","Triggered when an event hook has been activated. Used to notify admins that an event hook has been activated. When triggered, this events contains information about the activated event hook.","2019.03.4","event-hook"
"event_hook.created","Triggered when an event hook has been created. Used to notify admins that an event hook has been created. When triggered, this events contains information about the created event hook.","2019.03.4","event-hook"
"event_hook.deactivated","Triggered when an event hook has been deactivated. Used to notify admins that an event hook has been deactivated. When triggered, this events contains information about the deactivated event hook.","2019.03.4","event-hook"
"event_hook.deleted","Triggered when an event hook has been deleted. Used to notify admins that an event hook has been deleted. When triggered, this events contains information about the deleted event hook.","2019.03.4","event-hook"
"event_hook.delivery","Triggered when an event hook delivery fails. Used to identify when an event hook from Okta is not successfully delivered to the configured endpoint. Note that the event is triggered only when the delivery is unsuccessful.","2019.04.0","event-hook"
"event_hook.updated","Triggered when an event hook has been updated. Used to notify admins that an event hook has been updated. When triggered, this events contains information about the updated event hook.","2019.03.4","event-hook"
"event_hook.verified","Triggered when attempting to verify an event hook. Used to notify admins about the outcome of event hook endpoint URL verification. Note that the event is fired even when the verification is unsuccessful.","2019.03.4","event-hook"
"group.application_assignment.add","Add assigned application to group.","2016.06","event-hook-eligible","group"
"group.application_assignment.remove","Remove assigned application from group.","2016.05","event-hook-eligible","group"
"group.application_assignment.skip_assignment_reconcile","","2017.51","group"
"group.application_assignment.update","Update assigned application in group.","2016.13","event-hook-eligible","group"
"group.lifecycle.create","Create Okta group. This can be used to make sure an Okta group is successfully created. Event fired when an Okta group is successfully created.","2019.11.0","event-hook-eligible","group"
"group.lifecycle.delete","Delete Okta group. This can be used to make sure an Okta group is successfully deleted. Event fired when an Okta group is successfully deleted.","2019.11.0","event-hook-eligible","group"
"group.privilege.grant","Group's admin privilege granted. This can be used to audit the provisioning of admin privileges for groups. When fired, this event contains information about the type of admin privileges the group currently has, and what entity sources the group. The group granted privileges can be an Okta sourced group, and AD-sourced group, or an LDAP-sourced group Related events include: GROUP_PRIVILEGE_REVOKE.","2019.03.0","event-hook-eligible","group"
"group.privilege.revoke","Group's admin privilege revoked. This can be used to audit the deprovisioning of admin privileges from groups. When fired, this event indicates the group has no more admin privileges. All of group's privileges were revoked.  Related events include: GROUP_PRIVILEGE_GRANT.","2019.03.0","event-hook-eligible","group"
"group.profile.update","Okta group profile updated. Events of this type can be used by an IT administrator who wants to trigger an Okta Workflow to provision groups into downstream systems. The utility of the Event type is for Provisioning use cases to downstream systems.A classic example of this is a customer who uses Okta for Office 365 LCM, and wants to push a distribution list from Okta to Office 365.","2021.03.2","event-hook-eligible","group"
"group.user_membership.add","Add user to group membership.","2016.02","event-hook-eligible","group"
"group.user_membership.remove","Remove user from group membership.","2016.02","event-hook-eligible","group"
"group.user_membership.rule.add_exclusion","Add user to group membership exclusion rule.","2017.51","group"
"group.user_membership.rule.deactivated","","2017.51","group"
"group.user_membership.rule.error","group membership rule is in error state.","2017.51","group"
"group.user_membership.rule.evaluation","","2017.51","group"
"group.user_membership.rule.invalidate","Invalidate group membership rule.","2017.51","group"
"group.user_membership.rule.trigger","Trigger group membership rule.","2017.51","group"
"iam.resourceset.bindings.add","Admin role assignment is created. This event can be used to track and audit when a new admin role assignment is created. When fired this event contains information about the new user or group admin assignments for roles associated with the resource set.","2021.02.2","admin-role","event-hook-eligible"
"iam.resourceset.bindings.delete","Admin assignment is deleted. This event can be used to track and audit when an admin role assignment is deleted. When fired this event contains information about the deleted user or group admin assignments for roles associated with the resource set.","2021.02.2","admin-role","event-hook-eligible"
"iam.resourceset.create","Resource set is created. This event can be used to track and audit when a resource set is created. When fired this event contains information about the resources contained in the resource set that is created.","2021.02.2","admin-role","event-hook-eligible"
"iam.resourceset.delete","Resource set is deleted. This event can be used to track and audit when a resource set is deleted. When fired this event contains information about the resources contained in the resource set that is deleted.","2021.02.2","admin-role","event-hook-eligible"
"iam.resourceset.resources.add","Resources are added to a resource set. This event can be used to audit the resources added to a resource set. When fired this event contains information about the resources added to the resource set.","2021.02.2","admin-role","event-hook-eligible"
"iam.resourceset.resources.delete","Resources are deleted from a resource set. This event can be used to audit the resources deleted from a resource set. When fired this event contains information about the resources deleted from the resource set.","2021.02.2","admin-role","event-hook-eligible"
"iam.role.create","Custom admin role is created. This event can be used to track and audit when a custom admin role is created. When fired this event contains information about the permissions contained in the role that is created.","2021.02.2","admin-role","event-hook-eligible"
"iam.role.delete","Custom admin role is deleted. This event can be used to track and audit when a custom admin role is deleted. When fired this event contains information about the permissions contained in the role that is deleted.","2021.02.2","admin-role","event-hook-eligible"
"iam.role.permission.conditions.add","Conditions added to a permission in Okta. Use this event to evaluate impact on admin privileges as their scope might be impacted. This event is triggered when a condition is added to a role-based permission in Okta. A condition on a permission allows super admins to implement finer grained authorizations for stricter security postures. The event can be  accompanied with other events for permissions such as iam.role.permissions.add.","2022.12.0","admin-role","event-hook-eligible"
"iam.role.permission.conditions.delete","Conditions deleted from a permission in Okta. Use this event to evaluate impact on admin privileges as their scope might be impacted. This event is triggered when a condition is deleted from a role-based permission in Okta. A condition on a permission allows super admins to implement finer grained authorizations for stricter security postures. The event can be  accompanied with other events for permissions such as iam.role.permissions.delete.","2022.12.0","admin-role","event-hook-eligible"
"iam.role.permissions.add","Permissions are added to a custom admin role. This event can be used to audit the permissions added to a custom admin role. When fired this event contains information about the permissions added to the role.","2021.02.2","admin-role","event-hook-eligible"
"iam.role.permissions.delete","Permissions are deleted from a custom admin role. This event can be used to audit the permissions deleted from a custom admin role. When fired this event contains information about the permissions deleted from the role.","2021.02.2","admin-role","event-hook-eligible"
"inline_hook.activated","Triggered when an inline hook in activated. Used to identify when an inline hook lifecycle status was changed to activated. When triggered, this events contains information about the activated inline hook.","2019.01.2","inline-hook"
"inline_hook.created","Triggered when an inline hook has been created. Used to notify admins that an inline hook has been created. When triggered, this events contains information about the created inline hook.","2019.01.2","inline-hook"
"inline_hook.deactivated","Triggered when an inline hook is deactivated. Used to identify when an inline hook lifecycle status was changed to deactivated. When triggered, this events contains information about the deactivated inline hook.","2019.01.2","inline-hook"
"inline_hook.deleted","Triggered when an inline hook has been deleted. Used to notify admins that an inline hook has been deleted. When triggered, this events contains information about the deleted inline hook.","2019.01.2","inline-hook"
"inline_hook.executed","Triggered when an inline hook has been executed. Used to notify admins about the outcome of execution of an inline hook. Note that the event is fired when the execution is unsuccessful.","2019.01.2","event-hook-eligible","inline-hook"
"inline_hook.response.processed","Triggered after Okta has finished processing response from an inline hook. Used to notify admins about the outcome of processing response from an inline hook. Note that the event is fired even when the processing is unsuccessful.","2019.01.2","inline-hook"
"inline_hook.updated","Triggered when an inline hook has been modified. Used to notify admins that an inline hook has been updated. When triggered, this events contains information about the updated inline hook.","2019.01.2","inline-hook"
"integration.api_service.lifecycle.authorize","Authorize API service integration. This event is triggered when an admin authorized an OAuth 2.0 service app from the Okta Integration Network (OIN) to access the Okta org (tenant) using Okta management APIs. An API service integration is an integration to an OAuth 2.0 service app available from the Okta Integration Network (OIN).","2023.02.2","app","integration"
"integration.api_service.lifecycle.revoke","Revoke API service integration. This event is triggered when an admin revoked API access from an OAuth 2.0 service app to the Okta org. An API service integration is an integration to an OAuth 2.0 service app available from the Okta Integration Network (OIN).","2023.02.2","app","integration"
"master_application.user_membership.add","User provisioned to app.","2018.06","uncategorized"
"mim.command.generic.acknowledged","","2016.13","mim"
"mim.command.generic.cancelled","","2016.13","mim"
"mim.command.generic.delegated","","2016.13","mim"
"mim.command.generic.error","","2016.13","mim"
"mim.command.generic.new","","2016.13","mim"
"mim.command.generic.notnow","","2016.13","mim"
"mim.command.ios.acknowledged","","2016.13","mim"
"mim.command.ios.cancelled","","2016.13","mim"
"mim.command.ios.error","","2016.13","mim"
"mim.command.ios.formaterror","","2016.13","mim"
"mim.command.ios.new","","2016.13","mim"
"mim.createEnrollment.ANDROID","","2016.39","mim"
"mim.createEnrollment.IOS","","2016.39","mim"
"mim.createEnrollment.OSX","","2016.39","mim"
"mim.createEnrollment.UNKNOWN","","2016.39","mim"
"mim.createEnrollment.WINDOWS","","2016.39","mim"
"mim.streamDevicesAppListCSVDownload","","2016.39","mim"
"mim.streamDevicesCSVDownload","","2016.39","mim"
"network_zone.rule.disabled","","2016.12","network-zone"
"oauth2.as.activated","Authorization server is activated.","2017.22","oauth2","oauth2-as-lifecycle"
"oauth2.as.created","Authorization server is created.","2016.50","oauth2","oauth2-as-lifecycle"
"oauth2.as.deactivated","Authorization server is deactivated.","2017.22","oauth2","oauth2-as-lifecycle"
"oauth2.as.deleted","Authorization server is deleted.","2016.50","oauth2","oauth2-as-lifecycle"
"oauth2.as.updated","Authorization server is updated.","2016.50","oauth2","oauth2-as-lifecycle"
"oauth2.claim.created","OAuth2 claim is created.","2016.50","oauth2","oauth2-claim"
"oauth2.claim.deleted","OAuth2 claim is deleted.","2016.50","oauth2","oauth2-claim"
"oauth2.claim.updated","OAuth2 claim is updated.","2016.50","oauth2","oauth2-claim"
"oauth2.scope.created","OAuth2 scope is created.","2016.50","oauth2","oauth2-scope"
"oauth2.scope.deleted","OAuth2 scope is deleted.","2016.50","oauth2","oauth2-scope"
"oauth2.scope.updated","OAuth2 scope is updated.","2016.50","oauth2","oauth2-scope"
"omm.app.VPN.settings.changed","","2018.01","omm"
"omm.app.WIFI.settings.changed","","2018.01","omm"
"omm.app.eas.cert_based.settings.changed","","2018.01","omm"
"omm.app.eas.disabled","","2018.01","omm"
"omm.app.eas.settings.changed","","2018.01","omm"
"omm.cma.created","","2018.01","omm"
"omm.cma.deleted","","2018.01","omm"
"omm.cma.updated","","2018.01","omm"
"omm.enrollment.changed","","2018.01","omm"
"org.not_configured_origin.redirection.usage","Using untrusted origin for redirection.","2017.44","admin","org"
"pam.ad_connection.create","This event is triggered after an Active Directory Connection is created for discovering servers.","2022.02.0","pam"
"pam.ad_connection.delete","This event is triggered after an Active Directory Connection is deleted.","2022.02.0","pam"
"pam.ad_connection.update","This event is triggered after an Active Directory Connection is updated.","2022.02.0","pam"
"pam.ad_task_settings.create","This event is triggered after settings that are related to discovering servers in an Active Directory connection are created.","2022.02.0","pam"
"pam.ad_task_settings.delete","This event is triggered after settings that are related to discovering servers in an Active Directory connection are deleted.","2022.02.0","pam"
"pam.ad_task_settings.update","This event is triggered after settings that are related to discovering servers in an Active Directory connection are updated.","2022.02.0","pam"
"pam.ad_task_settings.update_schedule","This event is triggered after the schedule for discovering Active Directory servers is updated.","2022.02.0","pam"
"pam.ad_user_sync_task_settings.activate","This event is triggered after the settings for discovering Active Directory users in an Active Directory connection is activated. Use this event to monitor activation of AD User Sync Task Settings objects. This event contains reference to an AD User Sync Task Settings object.","2023.06.1","pam"
"pam.ad_user_sync_task_settings.create","This event is triggered after settings that are related to discovering users in an Active Directory connection are created. Use this event to monitor creation of AD User Sync Task Settings objects. This event contains reference to an AD User Sync Task Settings object.","2023.06.1","pam"
"pam.ad_user_sync_task_settings.deactivate","This event is triggered after the settings for discovering Active Directory users in an Active Directory connection is deactivated. Use this event to monitor deactivation of AD User Sync Task Settings objects. This event contains reference to an AD User Sync Task Settings object.","2023.06.1","pam"
"pam.ad_user_sync_task_settings.delete","This event is triggered after the settings for discovering Active Directory users in an Active Directory connection is deleted. Use this event to monitor deletion of AD User Sync Task Settings objects. This event contains reference to an AD User Sync Task Settings object.","2023.06.1","pam"
"pam.ad_user_sync_task_settings.update","This event is triggered after settings that are related to discovering users in an Active Directory connection are updated. Use this event to monitor update of AD User Sync Task Settings objects. This event contains reference to an AD User Sync Task Settings object.","2023.06.1","pam"
"pam.ad_user_sync_task_settings.update_schedule","This event is triggered after the schedule for discovering Active Directory users in an Active Directory connection is updated. Use this event to monitor schedule update of AD User Sync Task Settings objects. This event contains reference to an AD User Sync Task Settings object.","2023.06.1","pam"
"pam.apikey.delete","This event is triggered after a service user's API key is deleted.","2022.02.0","pam"
"pam.apikey.rotate","This event is triggered after a service user's API key is rotated.","2022.02.0","pam"
"pam.auth_token.issue","This event is triggered when an ASA client has been authenticated and is issued an authentication token with elevated capabilities.","2022.02.0","pam"
"pam.billing_contact.create","This event is triggered after a billing contact is created for an ASA team. This event is only applicable to legacy ASA customers.","2022.02.0","pam"
"pam.client.assign","This event is triggered after an ASA client is assigned to an ASA user.","2022.02.0","pam"
"pam.client.enroll","This event is triggered after an ASA client is enrolled with ASA.","2022.02.0","pam"
"pam.client.remove","This event is triggered after an ASA client is removed from a team.","2022.02.0","pam"
"pam.client.state.update","This event is triggered after the state of an ASA client is updated.","2022.02.0","pam"
"pam.client_enrollment_policies.create","This event is triggered after an ASA client enrollment policy is created.","2022.02.0","pam"
"pam.client_enrollment_policies.delete","This event is triggered after an ASA client enrollment policy is deleted.","2022.02.0","pam"
"pam.client_enrollment_policies.update","This event is triggered after an ASA client enrollment policy is updated.","2022.02.0","pam"
"pam.client_enrollment_policy_token.delete","This event is triggered after an ASA client enrollment token is deleted.","2022.02.0","pam"
"pam.client_enrollment_policy_token.rotate","This event is triggered after an ASA client enrollment token is rotated.","2022.02.0","pam"
"pam.cloud_account.create","This event is triggered after a project cloud account is created for importing servers into ASA.","2022.02.0","pam"
"pam.cloud_account.delete","This event is triggered after a cloud account has been removed from a project.","2022.02.0","pam"
